Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
28-06-2024,20:32,28-06-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-1,74",EUR,"215,34",
28-06-2024,07:51,27-06-2024,,,Ingreso Cambio de Divisa,,EUR,"1,74",EUR,"217,08",
28-06-2024,07:51,27-06-2024,,,Retirada Cambio de Divisa,"1,0731",USD,"-1,87",USD,"0,00",
27-06-2024,08:37,26-06-2024,ISHARES CORE S&P 500 UCITS ETF USD,IE0031442068,Dividendo,,USD,"1,45",USD,"1,87",
27-06-2024,07:26,26-06-2024,META PLATFORMS INC CLASS A,US30303M1027,Dividendo,,USD,"0,50",USD,"0,42",
27-06-2024,07:26,26-06-2024,META PLATFORMS INC CLASS A,US30303M1027,Retención del dividendo,,USD,"-0,08",USD,"-0,08",
18-06-2024,18:47,18-06-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,05 EUR",,,,EUR,"215,34",
18-06-2024,18:47,18-06-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-0,05",EUR,"215,29",
18-06-2024,07:39,17-06-2024,CELLNEX TELECOM SA,ES0105066007,Rendimiento de capital,,EUR,"0,05",EUR,"215,34",
20-05-2024,17:15,20-05-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,39 EUR",,,,EUR,"215,29",
20-05-2024,17:15,20-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-0,39",EUR,"214,90",
18-05-2024,07:21,17-05-2024,,,Ingreso Cambio de Divisa,,EUR,"0,39",EUR,"215,29",
18-05-2024,07:21,17-05-2024,,,Retirada Cambio de Divisa,"1,0897",USD,"-0,42",USD,"0,00",
17-05-2024,07:40,16-05-2024,APPLE INC,US0378331005,Dividendo,,USD,"0,50",USD,"0,42",
17-05-2024,07:40,16-05-2024,APPLE INC,US0378331005,Retención del dividendo,,USD,"-0,08",USD,"-0,08",
19-04-2024,16:45,19-04-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 14,28 EUR",,,,EUR,"214,90",
19-04-2024,16:45,19-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-14,28",EUR,"200,62",
19-04-2024,07:15,18-04-2024,AIRBUS SE,NL0000235190,Dividendo,,EUR,"16,80",EUR,"214,90",
19-04-2024,07:15,18-04-2024,AIRBUS SE,NL0000235190,Retención del dividendo,,EUR,"-2,52",EUR,"198,10",
03-04-2024,21:18,02-04-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,4 EUR",,,,EUR,"200,62",
03-04-2024,21:18,02-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-1,40",EUR,"199,22",
02-04-2024,05:30,31-03-2024,,,Flatex Interest Income,,EUR,"0,00",EUR,"200,62",
